"username","car_id","price","vin","buyer_first_name","buyer_last_name","buyer_id","branch_id"
"mingledewm","810-mn-42","$7,650.13","1D7RB1CP4AS307831","Mariellen","Caccavari","594-17-4584","23"
"jbattissonn","781-kt-18","$17,966.03","WBXPC93469W","Tasia","Fowell","865-68-6275","24"
"mrainero","101-ej-04","$27,497.99","5N1AZ2M","Mei","Mogra","133-48-7455","25"
"pbruinsp","622-er-98","$18,497.06","3C63D3ML8CG8","Theadora","Hadwick","713-78-0971","26"
"dmuirheadq","454-lt-36","$19,197.61","1HGCR2F35EA723720","Margarette","Fakeley","655-53-9749","27"
"fredmondr","945-um-59","$23,461.40","19XFA1F3","Haley","","774-85-9940","28"
"gcamplings","836-hn-74","$14,942.44","SCBLE47K28C119226","Anabel","","714-06-8121","29"
"mpadkint","889-gt-16","$19,532.72","1C3BCBGG3D","Corry","","293-15-7371","30"
"bdecourcyu","853-mb-23","$8,637.20","KMHTC6AD9EU033423","Charis","","538-83-9176","31"
"aboutcherv","118-ze-46","$17,481.79","1FTEX1C89AK646603","Raul","","","32"
"cwhittenburyw","123-hg-47","$29,648.64","KMHTC6AD7","Abrahan","","","33"
"aabramchikx","062-rg-14","$29,512.47","WBSBL93406P715386","Cori","","","34"
"cprewery","358-xy-38","$26,319.10","TRUSX28N821870047","Orelie","","","35"
"mhalbertz","128-wq-95","$19,081.05","SCBFU7ZAXFC496292","Wakefield","","","36"
"fmoffett10","578-hu-83","$14,400.55","WAUUFAFH4","Hadrian","","281-85-4973","37"
"cgrenter11","247-ol-50","$29,550.37","WBASN4C","Siffre","","222-69-3555","38"
"bbigley12","687-yv-37","$10,987.02","1FTWW3B52AE472446","Friedrich","Redbourn","134-16-5246","39"
"gmattson13","817-da-72","$20,136.57","1C3CC5FB3","Amelia","Esberger","292-92-2207","40"
"kcradduck14","894-yt-85","$15,136.74","WAUVC68E62A659971","Kelbee","Drake","508-68-5087","41"
"hsavory15","813-zj-22","$15,212.19","WAUVT68E42A507350","Durant","Harcase","652-60-9287","42"
"hcrucetti16","158-mo-45","$9,017.22","WBAUC73529V076762","Tallie","Woller","728-44-9412","43"
"cphilippault17","897-xm-80","$29,372.90","WVWED7AJ5BW371164","Jeramie","Dunseith","","44"
"nthowes18","503-jx-09","$27,617.65","KNAFU6A28D5949402","Godfree","Blackwell","","45"
"cdevonald19","308-zj-02","$18,964.50","JH4CU4F49CC8","Matteo","Heardman","","46"
"gmackowle1a","181-cz-60","$28,500.03","2T1BU4EE2DC244382","Otis","Bewfield","848-25-5373","47"
"bswinden1b","494-ou-21","$10,619.85","WBAPH7C50BE600110","Gloriane","Tidder","340-54-5064","48"
"lgerritzen1c","256-ot-56","$11,182.62","JN8AZ2KR0ET302903","Hermann","Rosborough","635-52-6683","49"
"kjoscelyn1d","455-lm-00","$9,978.68","5UXFB33592L185498","Midge","","543-15-6690","50"
"fhumbles1e","925-hf-12","$7,671.27","2G4WE537951019817","Loree","","608-86-2777","51"
"idickson1f","664-zn-80","$17,844.90","WBALW7C52CC482272","Irwinn","","485-47-2622","52"
"fpomphrett1g","695-wa-43","$15,571.22","WAUHFBFL0BN118048","Fulvia","","611-63-0447","53"
"tmainz1h","376-ad-62","$19,004.21","1G6AC1R36F0635217","Tome","","760-11-5620","54"
"gvosse1i","290-mw-39","$11,054.19","2HNYD1","Gil","","762-91-0750","55"
"akunisch1j","550-pm-82","$26,731.30","4T1BF1FK3EU540637","Aristotle","","898-45-0023","56"
"mdunne1k","704-fp-67","$29,288.38","WAUKF78EX8A784626","Mae","Dunne","246-18-7188","57"
"atorbeck1l","958-bu-20","$18,645.94","1G6EC12922B567965","Aurora","Torbeck","690-21-2072","58"
"egraybeal1m","309-dp-58","$24,109.88","WBAKX6C58CC210151","Etti","Graybeal","268-51-8789","59"
"sflowitt1n","887-dn-93","$21,557.20","KNAFU6A27D5935071","Sharona","Flowitt","464-75-9686","60"
"statam1o","832-ik-74","$20,949.59","KNDMA5C19F6470453","Silvain","Tatam","779-13-9619","61"
"eaveling1p","518-tq-76","$10,037.26","1G6YV36A385793575","Edithe","Aveling","","62"
"swoolatt1q","336-zw-88","$16,853.37","WBAUC73539V588465","Seana","Woolatt","188-53-9531","63"
"dbuxy1r","299-vp-37","$11,065.75","1N4AA5APXCC012661","Dulcea","Buxy","","64"
"akeinrat1s","610-bt-48","$8,402.44","1C3CDFAA5FD909823","Aggy","Keinrat","872-34-5995","65"
"tripsher1t","089-oo-10","$16,616.42","2G4GP5EX4F9960557","Trumann","Ripsher","","66"
"ewoolf1u","083-fu-85","$15,106.17","JN1AJ0H","Eleanora","Woolf","748-04-5815","67"
"geverall1v","750-iw-39","$17,263.34","KMHEC4A43DA245604","Gilles","Everall","498-55-8905","68"
"mbaggaley1w","482-oe-94","$10,302.23","4T1BF1FK8EU846958","Mateo","Baggaley","529-65-5360","69"
"rlacase1x","088-hd-14","$17,557.60","WBAVM5C57DV560182","Ronda","","710-06-4258","70"
"kstruss1y","753-or-05","$17,629.78","19UUA9F74CA350092","Karen","","118-47-4546","71"
"dferson1z","969-eh-12","$27,390.46","3D4PH9FG6BT086469","Deanne","","383-71-6445","72"
"aandrei20","505-aa-98","$12,874.91","1N6AA0ECXEN937921","Abbie","","328-70-3841","73"
"rtilliard21","441-my-25","$22,770.23","WAUFFBFL3CA608547","Rusty","","536-75-6778","74"
"cvickress22","091-zk-28","$27,216.93","WDDGF4HB9DR908612","Cristian","","167-79-9029","75"
"jguite23","071-vx-49","$23,783.46","4T1BF1FK3CU944308","Janice","","693-91-6398","76"
"srabley24","095-yg-62","$21,226.22","WBASP4C58AC575012","Si","","484-93-2801","77"
"serrichi25","958-km-70","$20,128.77","WBY2Z2C57","Susanetta","Errichi","657-07-6415","78"
"ilawrenz26","858-jy-49","$28,624.87","WBAUN7C52DV804079","Iorgo","Lawrenz","226-10-4036","79"
"kgibbons27","841-sr-58","$9,505.65","WAUVT68E42A347700","Kele","Gibbons","652-71-5164","80"
"mbligh28","780-lk-67","$16,485.40","1GYS4GEF8BR965006","Minna","Bligh","280-17-1685","81"
"atruswell29","132-eb-05","$16,342.52","1GYS4BEF7BR726050","Al","Truswell","629-75-9335","82"
"bgimson2a","988-nj-66","$24,280.72","3VWF17AT9FM191297","Benny","Gimson","527-86-4385","83"
"asobieski2b","377-cc-27","$22,949.68","WBAUP73558V400354","Aymer","Sobieski","","84"
"wkillerby2c","101-jp-24","$13,198.32","WA1DMAFP5EA611766","Whitby","Killerby","285-66-7315","85"
"ncouch2d","775-sx-87","$12,497.01","1G4HR54K644252640","Neville","Couch","","86"
"aalbany2e","835-bd-23","$17,407.73","WVGAV7AX1FW914964","Aubrey","Albany","","87"
"xgault2f","491-ua-18","$24,621.97","YV4960DL5A2161215","Xylia","Gault","177-34-5974","88"
"aoconnell2g","137-oi-18","$12,123.38","WAUUL98E77A119128","Alric","O'Connell","609-66-8769","89"
"msurcomb2h","976-xk-94","$18,248.93","1C4RDHDG8EC203628","Michell","Surcomb","845-06-4486","90"
"kkeers2i","755-nx-20","$7,966.97","19VDE1F77FE009039","Kristel","","120-80-3776","91"
"dgumbrell2j","226-vk-77","$12,757.80","WBA3N9C56EK697354","Dennie","","559-19-2586","92"
"hdomingues2k","502-dx-39","$10,570.21","1G6DS8EV9A0935844","Hatty","","463-30-8063","93"
"agwynne2l","903-oe-00","$20,538.65","19UUA65","Agretha","","529-83-1427","94"
"aboulds2m","932-ol-94","$18,448.28","1G6DF8EG3A0237607","Avrom","","378-89-1386","95"
"fdulieu2n","791-rb-99","$7,611.08","1G4PP5SK","Free","","805-38-7743","96"
"jbille2o","507-kf-66","$20,648.39","WBA3T3C54FP367770","Jessalyn","","791-90-2145","97"
"pmoxom2p","165-qh-34","$10,108.91","JN1CV6EK6CM352401","Poul","","229-71-9408","98"
"rteece2q","634-hf-29","$8,881.95","KL4CJGS","Rolland","Teece","476-56-8443","99"
"wmcphater2r","604-ku-94","$26,874.22","2D4JN1AG7BR463109","Wolfy","McPhater","","100"
