username,car_id,price,vin,buyer_first_name,buyer_last_name,buyer_id,division_id
mbauldryk,261-ek-83,"$29,747.86 ",4JGDF2EE4DA306792,Myrah,Bauldry,215-74-4621,4
gshoutel,185-an-40,"$13,774.69 ",3C63DRKL3CG077496,Georg,Shoute,467-94-6061,4
mcaccavarim,732-ol-92,"$7,650.13 ",1D7RB1CP4AS307831,Mariellen,Caccavari,594-17-4584,4
tfowelln,329-km-73,"$17,966.03 ",WBXPC93469W528180,Tasia,Fowell,865-68-6275,4
mmograo,400-de-73,"$27,497.99 ",5N1AZ2MG1FN534788,Mei,Mogra,133-48-7455,4
thadwickp,007-qb-47,"$18,497.06 ",3C63D3ML8CG882002,Theadora,Hadwick,713-78-0971,4
mfakeleyq,679-tb-45,"$19,197.61 ",1HGCR2F35EA723720,Margarette,Fakeley,655-53-9749,4
hdelguar,293-kn-98,"$23,461.40 ",19XFA1F38BE623374,Haley,Delgua,774-85-9940,4
avardens,982-hl-73,"$14,942.44 ",SCBLE47K28C119226,Anabel,Varden,714-06-8121,4
csimonsont,411-jp-59,"$19,532.72 ",1C3BCBGG3DN988595,Corry,Simonson,293-15-7371,4
cpaleku,976-tp-89,"$8,637.20 ",KMHTC6AD9EU033423,Charis,Palek,538-83-9176,4
rfairestv,381-ok-48,"$17,481.79 ",1FTEX1C89AK646603,Raul,Fairest,117-22-1525,
adonaherw,854-jg-19,"$29,648.64 ",KMHTC6AD7CU920287,Abrahan,Donaher,531-33-5778,
cwinslettx,364-it-74,"$29,512.47 ",WBSBL93406P715386,Cori,Winslett,117-69-9868,
olevetty,037-mn-78,"$26,319.10 ",TRUSX28N821870047,Orelie,Levett,508-75-2431,
wpoorz,940-yj-75,"$19,081.05 ",SCBFU7ZAXFC496292,Wakefield,Poor,199-53-9381,
hlavers10,211-rw-21,"$14,400.55 ",WAUUFAFH4BN695217,Hadrian,Lavers,281-85-4973,4
ssherman11,368-lf-02,"$29,550.37 ",WBASN4C55BC284961,Siffre,Sherman,222-69-3555,4
fredbourn12,050-ok-48,"$10,987.02 ",1FTWW3B52AE472446,Friedrich,Redbourn,134-16-5246,4
aesberger13,396-ma-79,"$20,136.57 ",1C3CC5FB3AN582422,Amelia,Esberger,292-92-2207,4
kdrake14,250-gx-81,"$15,136.74 ",WAUVC68E62A659971,Kelbee,Drake,508-68-5087,4
dharcase15,735-lm-26,"$15,212.19 ",WAUVT68E42A507350,Durant,Harcase,652-60-9287,4
twoller16,968-ml-33,"$9,017.22 ",WBAUC73529V076762,Tallie,Woller,728-44-9412,4
jdunseith17,604-ar-47,"$29,372.90 ",WVWED7AJ5BW371164,Jeramie,Dunseith,151-08-9278,4
gblackwell18,207-kz-10,"$27,617.65 ",KNAFU6A28D5949402,Godfree,Blackwell,556-12-4193,4
mheardman19,266-uy-18,"$18,964.50 ",JH4CU4F49CC857387,Matteo,Heardman,409-39-1386,4
obewfield1a,810-su-18,"$28,500.03 ",2T1BU4EE2DC244382,Otis,Bewfield,848-25-5373,4
gtidder1b,292-jv-62,"$10,619.85 ",WBAPH7C50BE600110,Gloriane,Tidder,340-54-5064,4
hrosborough1c,138-tg-19,"$11,182.62 ",JN8AZ2KR0ET302903,Hermann,Rosborough,635-52-6683,4
mhanley1d,583-fv-85,"$9,978.68 ",5UXFB33592L185498,Midge,Hanley,543-15-6690,4
ltummond1e,925-hf-12,"$7,671.27 ",2G4WE537951019817,Loree,Tummond,608-86-2777,4
idickson1f,664-zn-80,"$17,844.90 ",WBALW7C52CC482272,Irwinn,Dickson,485-47-2622,4
fpomphrett1g,695-wa-43,"$15,571.22 ",WAUHFBFL0BN118048,Fulvia,Pomphrett,611-63-0447,4
tmainz1h,376-ad-62,"$19,004.21 ",1G6AC1R36F0635217,Tome,Mainz,760-11-5620,4
gvosse1i,290-mw-39,"$11,054.19 ",2HNYD18623H985286,Gil,Vosse,762-91-0750,4
akunisch1j,550-pm-82,"$26,731.30 ",4T1BF1FK3EU540637,Aristotle,Kunisch,898-45-0023,4
mdunne1k,704-fp-67,"$29,288.38 ",WAUKF78EX8A784626,Mae,Dunne,246-18-7188,4
atorbeck1l,958-bu-20,"$18,645.94 ",1G6EC12922B567965,Aurora,Torbeck,690-21-2072,4
egraybeal1m,309-dp-58,"$24,109.88 ",WBAKX6C58CC210151,Etti,Graybeal,268-51-8789,4
sflowitt1n,887-dn-93,"$21,557.20 ",KNAFU6A27D5935071,Sharona,Flowitt,464-75-9686,4
statam1o,832-ik-74,"$20,949.59 ",KNDMA5C19F6470453,Silvain,Tatam,779-13-9619,4
eaveling1p,518-tq-76,"$10,037.26 ",1G6YV36A385793575,Edithe,Aveling,353-48-5739,4
swoolatt1q,336-zw-88,"$16,853.37 ",WBAUC73539V588465,Seana,Woolatt,188-53-9531,4
dbuxy1r,299-vp-37,"$11,065.75 ",1N4AA5APXCC012661,Dulcea,Buxy,706-09-4566,4
akeinrat1s,610-bt-48,"$8,402.44 ",1C3CDFAA5FD909823,Aggy,Keinrat,872-34-5995,4
tripsher1t,089-oo-10,"$16,616.42 ",2G4GP5EX4F9960557,Trumann,Ripsher,443-35-5677,4
ewoolf1u,083-fu-85,"$15,106.17 ",JN1AJ0HP6CM134207,Eleanora,Woolf,748-04-5815,4
geverall1v,750-iw-39,"$17,263.34 ",KMHEC4A43DA245604,Gilles,Everall,498-55-8905,4
mbaggaley1w,482-oe-94,"$10,302.23 ",4T1BF1FK8EU846958,Mateo,Baggaley,529-65-5360,4
rlacase1x,088-hd-14,"$17,557.60 ",WBAVM5C57DV560182,Ronda,Lacase,710-06-4258,4
kstruss1y,753-or-05,"$17,629.78 ",19UUA9F74CA350092,Karen,Struss,118-47-4546,4
dferson1z,969-eh-12,"$27,390.46 ",3D4PH9FG6BT086469,Deanne,Ferson,383-71-6445,4
aandrei20,505-aa-98,"$12,874.91 ",1N6AA0ECXEN937921,Abbie,Andrei,328-70-3841,4
rtilliard21,441-my-25,"$22,770.23 ",WAUFFBFL3CA608547,Rusty,Tilliard,536-75-6778,4
cvickress22,091-zk-28,"$27,216.93 ",WDDGF4HB9DR908612,Cristian,Vickress,167-79-9029,4
jguite23,071-vx-49,"$23,783.46 ",4T1BF1FK3CU944308,Janice,Guite,693-91-6398,4
srabley24,095-yg-62,"$21,226.22 ",WBASP4C58AC575012,Si,Rabley,484-93-2801,4
serrichi25,958-km-70,"$20,128.77 ",WBY2Z2C57EV692042,Susanetta,Errichi,657-07-6415,4
ilawrenz26,858-jy-49,"$28,624.87 ",WBAUN7C52DV804079,Iorgo,Lawrenz,226-10-4036,4
kgibbons27,841-sr-58,"$9,505.65 ",WAUVT68E42A347700,Kele,Gibbons,652-71-5164,4
mbligh28,780-lk-67,"$16,485.40 ",1GYS4GEF8BR965006,Minna,Bligh,280-17-1685,4
atruswell29,132-eb-05,"$16,342.52 ",1GYS4BEF7BR726050,Al,Truswell,629-75-9335,4
bgimson2a,988-nj-66,"$24,280.72 ",3VWF17AT9FM191297,Benny,Gimson,527-86-4385,4
asobieski2b,377-cc-27,"$22,949.68 ",WBAUP73558V400354,Aymer,Sobieski,522-27-5811,4
wkillerby2c,101-jp-24,"$13,198.32 ",WA1DMAFP5EA611766,Whitby,Killerby,285-66-7315,4
ncouch2d,775-sx-87,"$12,497.01 ",1G4HR54K644252640,Neville,Couch,293-90-0167,4
aalbany2e,835-bd-23,"$17,407.73 ",WVGAV7AX1FW914964,Aubrey,Albany,754-06-9310,4
xgault2f,491-ua-18,"$24,621.97 ",YV4960DL5A2161215,Xylia,Gault,177-34-5974,4
aoconnell2g,137-oi-18,"$12,123.38 ",WAUUL98E77A119128,Alric,O'Connell,609-66-8769,4
msurcomb2h,976-xk-94,"$18,248.93 ",1C4RDHDG8EC203628,Michell,Surcomb,845-06-4486,4
kkeers2i,755-nx-20,"$7,966.97 ",19VDE1F77FE009039,Kristel,Keers,120-80-3776,4
dgumbrell2j,226-vk-77,"$12,757.80 ",WBA3N9C56EK697354,Dennie,Gumbrell,559-19-2586,4
hdomingues2k,502-dx-39,"$10,570.21 ",1G6DS8EV9A0935844,Hatty,Domingues,463-30-8063,4
agwynne2l,903-oe-00,"$20,538.65 ",19UUA655X4A921987,Agretha,Gwynne,529-83-1427,4
aboulds2m,932-ol-94,"$18,448.28 ",1G6DF8EG3A0237607,Avrom,Boulds,378-89-1386,4
fdulieu2n,791-rb-99,"$7,611.08 ",1G4PP5SKXF4772072,Free,Dulieu,805-38-7743,4
jbille2o,507-kf-66,"$20,648.39 ",WBA3T3C54FP367770,Jessalyn,Bille,791-90-2145,4
pmoxom2p,165-qh-34,"$10,108.91 ",JN1CV6EK6CM352401,Poul,Moxom,229-71-9408,4
rteece2q,634-hf-29,"$8,881.95 ",KL4CJGSB9EB524609,Rolland,Teece,476-56-8443,4
wmcphater2r,604-ku-94,"$26,874.22 ",2D4JN1AG7BR463109,Wolfy,McPhater,496-27-1045,4
